"AGNCB","American Capital ",24.39,24.46,+0.01,"11/7/2014","3:59pm"
"AGNCP","American Capital ",25.81,25.76,+0.06,"11/7/2014","3:57pm"
"MTGE","American Capital ",19.69,19.59,+0.13,"11/7/2014","4:00pm"
"MTGEP","American Capital ",25.00,N/A,0.00,"11/6/2014","2:34pm"
"ACSF","American Capital ",13.245,13.10,+0.175,"11/7/2014","4:00pm"
"ACAS","American Capital,",15.75,15.50,+0.22,"11/7/2014","4:00pm"
"ANCI","American Caresour",2.90,2.89,+0.1098,"11/7/2014","3:37pm"
"AETI","American Electric",6.02,6.23,-0.23,"11/7/2014","3:59pm"
"AMIC","American Independ",10.40,10.70,-0.3501,"11/7/2014","2:53pm"
"AMNB","American National",24.31,24.92,-0.38,"11/7/2014","4:00pm"
"ANAT","American National",115.05,115.00,+0.43,"11/7/2014","4:00pm"
"APEI","American Public E",35.24,31.27,+4.77,"11/7/2014","4:00pm"
"ARII","American Railcar ",66.28,66.00,+0.15,"11/7/2014","4:00pm"
"HCT","American Realty C",11.09,11.08,+0.03,"11/7/2014","4:00pm"
"ARCP","American Realty C",8.79,8.67,+0.15,"11/7/2014","4:00pm"
"ARCPP","American Realty C",21.745,21.51,+0.015,"11/7/2014","4:00pm"
"AMRB","American River Ba",9.99,9.61,+0.38,"11/7/2014","3:59pm"
"ASEI","American Science ",54.19,54.27,-0.28,"11/7/2014","3:59pm"
"AMSWA","American Software",9.53,9.68,-0.20,"11/7/2014","4:00pm"
"AMSC","American Supercon",1.17,1.37,-0.19,"11/7/2014","4:00pm"
"AMWD","American Woodmark",41.52,41.20,+0.27,"11/7/2014","4:00pm"
"CRMT","America's Car-Mar",48.22,47.17,+0.88,"11/7/2014","4:00pm"
"ABCB","Ameris Bancorp",25.26,24.75,+0.41,"11/7/2014","4:00pm"
"AMSF","AMERISAFE, Inc.",41.17,41.37,-0.35,"11/7/2014","4:00pm"
"ASRV","AmeriServ Financi",3.21,3.17,-0.06,"11/7/2014","2:49pm"
"ASRVP","AmeriServ Financi",26.11,26.13,-0.04,"11/7/2014","3:56pm"
"ATLO","Ames National Cor",24.93,25.18,-0.23,"11/7/2014","4:00pm"
"AMGN","Amgen Inc.",160.25,162.17,-0.10,"11/7/2014","4:00pm"
