"AMBI","Ambit Biosciences",15.40,15.43,+0.03,"11/5/2014","2:37pm"
"AMCX","AMC Networks Inc.",59.27,59.38,+0.13,"11/5/2014","2:37pm"
"DOX","Amdocs Limited",47.83,46.34,+0.66,"11/5/2014","2:37pm"
"AMDA","Amedica Corporati",1.57,1.88,-0.30,"11/5/2014","2:32pm"
"AMED","Amedisys Inc",25.44,26.65,-1.06,"11/5/2014","2:37pm"
"UHAL","Amerco",276.81,279.11,+2.08,"11/5/2014","2:25pm"
"ASBI","Ameriana Bancorp",15.9005,16.20,-0.1995,"11/5/2014","2:12pm"
"ATAX","America First Mul",5.7901,5.83,-0.0299,"11/5/2014","2:08pm"
"AMOV","America Movil, S.",24.05,24.26,-0.1521,"11/5/2014","2:33pm"
"AAL","American Airlines",42.57,43.32,-0.13,"11/5/2014","2:37pm"
"AGNC","American Capital ",22.325,22.50,-0.155,"11/5/2014","2:37pm"
"AGNCB","American Capital ",24.505,24.55,+0.005,"11/5/2014","2:35pm"
"AGNCP","American Capital ",25.78,25.65,-0.06,"11/5/2014","12:24pm"
"MTGE","American Capital ",19.49,19.62,-0.12,"11/5/2014","2:36pm"
"MTGEP","American Capital ",25.15,25.13,+0.07,"11/5/2014","10:45am"
"ACSF","American Capital ",13.1999,13.06,+0.1199,"11/5/2014","2:37pm"
"ACAS","American Capital,",14.60,14.46,+0.16,"11/5/2014","2:37pm"
"ANCI","American Caresour",2.88,2.85,+0.03,"11/5/2014","12:41pm"
"AETI","American Electric",6.40,6.67,-0.28,"11/5/2014","2:37pm"
"AMIC","American Independ",10.7501,10.24,0.00,"10/31/2014","10:40am"
"AMNB","American National",24.23,24.47,0.00,"11/5/2014","2:12pm"
"ANAT","American National",115.11,116.23,-1.09,"11/5/2014","2:37pm"
"APEI","American Public E",30.82,30.89,+0.02,"11/5/2014","2:36pm"
"ARII","American Railcar ",64.54,64.46,+1.05,"11/5/2014","2:37pm"
"HCT","American Realty C",11.175,11.12,+0.025,"11/5/2014","2:37pm"
"ARCP","American Realty C",8.539,8.25,+0.389,"11/5/2014","2:37pm"
"ARCPP","American Realty C",21.54,21.28,+0.22,"11/5/2014","2:37pm"
"AMRB","American River Ba",9.38,N/A,0.00,"11/4/2014","3:59pm"
"ASEI","American Science ",55.10,55.39,+0.05,"11/5/2014","2:28pm"
"AMSWA","American Software",9.68,9.67,+0.04,"11/5/2014","2:35pm"
"AMSC","American Supercon",1.315,1.30,+0.035,"11/5/2014","2:23pm"
"AMWD","American Woodmark",40.94,41.49,-0.35,"11/5/2014","2:37pm"
"CRMT","America's Car-Mar",46.24,46.50,-0.19,"11/5/2014","2:36pm"
"ABCB","Ameris Bancorp",24.80,24.70,+0.21,"11/5/2014","2:31pm"
"AMSF","AMERISAFE, Inc.",41.95,42.52,-0.21,"11/5/2014","2:34pm"
"ASRV","AmeriServ Financi",3.20,3.26,0.00,"11/5/2014","2:31pm"
"ASRVP","AmeriServ Financi",26.12,25.95,0.00,"11/5/2014","2:05pm"
"ATLO","Ames National Cor",24.74,24.47,+0.55,"11/5/2014","2:25pm"
"AMGN","Amgen Inc.",159.50,161.31,-0.91,"11/5/2014","2:37pm"
"FOLD","Amicus Therapeuti",5.79,5.75,+0.04,"11/5/2014","2:37pm"
"AMKR","Amkor Technology,",6.43,6.37,+0.11,"11/5/2014","2:37pm"
